INC_IR_NO,INC_DATE,INC_YEAR,INC_TIME,INC_DAY_WEEK,INC_LOC_COUNTY,HUNDRED_BLOCK,INC_CITY,INC_STATE,INC_ZIPCODE,INC_PRECINCT,CIT_NUMBER,CIT_GENDER,CIT_AGE,SUBJ_AGE_GROUP,CIT_RACE,CIT_ETHNICITY,SIMPLE_SUBJ_RE_GRP,CITIZEN_CHARGE,PGP_COUNT
"202000002064678","01/13/2020","2020","20:40","Monday","825 Beat","3XXX West Granada Road","Phoenix","AZ","85009","Maryvale/Estrella Precinct","24887","Male","21","20s","White","Hispanic","Hispanic","Criminal Felony","1"
"202000000483210","03/20/2020","2020","19:35","Friday","931 Beat","2XXX West Cactus Road","Phoenix","AZ","85029","Cactus Park Precinct","38867","Male","38","30s","White","Hispanic","Hispanic","Criminal Felony","1"
"202100000888204","06/08/2020","2020","10:37","Monday","223 Beat","1XXXX North 9th Avenue","Phoenix","AZ","85023","Black Mountain Precinct","33042","Male","40","40s","White","Non-Hispanic","White","Criminal Felony","1"
"202000001090896","07/01/2020","2020","06:30","Wednesday","815 Beat","1XXX 73rd Avenue N","Phoenix","AZ","85035","Maryvale/Estrella Precinct","21798","Male","27","20s","White","Hispanic","Hispanic","None","1"
"202000001090896","07/01/2020","2020","06:30","Wednesday","815 Beat","1XXX 73rd Avenue N","Phoenix","AZ","85035","Maryvale/Estrella Precinct","21793","Male","16","<20","Black","Non-Hispanic","Black or African American","None","1"
"202000001087451","07/01/2020","2020","04:43","Wednesday","721 Beat","2XXX Willetta Street E","Phoenix","AZ","85006","Mountain View Precinct","22507","Male","1","<20","White","Hispanic","Hispanic","None","1"
"202000001087451","07/01/2020","2020","04:43","Wednesday","721 Beat","2XXX Willetta Street E","Phoenix","AZ","85006","Mountain View Precinct","22506","Female","5","<20","White","Hispanic","Hispanic","None","1"
"202000001087451","07/01/2020","2020","04:43","Wednesday","721 Beat","2XXX Willetta Street E","Phoenix","AZ","85006","Mountain View Precinct","22508","Male","31","30s","White","Hispanic","Hispanic","None","1"
"202000001090896","07/01/2020","2020","06:30","Wednesday","815 Beat","1XXX 73rd Avenue N","Phoenix","AZ","85035","Maryvale/Estrella Precinct","21799","Male","30","30s","White","Hispanic","Hispanic","None","1"
"202000001090896","07/01/2020","2020","06:30","Wednesday","815 Beat","1XXX 73rd Avenue N","Phoenix","AZ","85035","Maryvale/Estrella Precinct","21796","Female","38","30s","Black","Non-Hispanic","Black or African American","None","1"
"202000001087451","07/01/2020","2020","04:43","Wednesday","721 Beat","2XXX Willetta Street E","Phoenix","AZ","85006","Mountain View Precinct","22504","Female","33","30s","White","Hispanic","Hispanic","None","1"
"202000001087451","07/01/2020","2020","04:43","Wednesday","721 Beat","2XXX Willetta Street E","Phoenix","AZ","85006","Mountain View Precinct","22502","Male","67","60s","White","Hispanic","Hispanic","None","1"
"202000001090896","07/01/2020","2020","06:30","Wednesday","815 Beat","1XXX 73rd Avenue N","Phoenix","AZ","85035","Maryvale/Estrella Precinct","21795","Male","13","<20","Black","Non-Hispanic","Black or African American","None","1"
"202000001090896","07/01/2020","2020","06:30","Wednesday","815 Beat","1XXX 73rd Avenue N","Phoenix","AZ","85035","Maryvale/Estrella Precinct","21794","Male","16","<20","Black","Non-Hispanic","Black or African American","None","1"
"202000001090896","07/01/2020","2020","06:30","Wednesday","815 Beat","1XXX 73rd Avenue N","Phoenix","AZ","85035","Maryvale/Estrella Precinct","21797","Female","39","30s","White","Hispanic","Hispanic","None","1"
"202000001087451","07/01/2020","2020","04:43","Wednesday","721 Beat","2XXX Willetta Street E","Phoenix","AZ","85006","Mountain View Precinct","22505","Female","8","<20","White","Hispanic","Hispanic","None","1"
"202000001087451","07/01/2020","2020","04:43","Wednesday","721 Beat","2XXX Willetta Street E","Phoenix","AZ","85006","Mountain View Precinct","22509","Male","39","30s","White","Hispanic","Hispanic","None","1"
"202000001087451","07/01/2020","2020","04:43","Wednesday","721 Beat","2XXX Willetta Street E","Phoenix","AZ","85006","Mountain View Precinct","22503","Female","28","20s","White","Hispanic","Hispanic","None","1"
"202000001087451","07/01/2020","2020","04:43","Wednesday","721 Beat","2XXX Willetta Street E","Phoenix","AZ","85006","Mountain View Precinct","22510","Female","53","50s","White","Hispanic","Hispanic","None","1"
"202000001096845","07/02/2020","2020","06:03","Thursday","512 Beat","4XX North 1st Street","Phoenix","AZ","85004","Central City Precinct","32920","Male","23","20s","American Indian / Alaskan Native","Non-Hispanic","Other","Criminal Felony","1"
"202000001096845","07/02/2020","2020","06:04","Thursday","512 Beat","4XX North 1st Street","Phoenix","AZ","85004","Central City Precinct","32920","Male","23","20s","American Indian / Alaskan Native","Non-Hispanic","Other","Criminal Felony","1"
"202000001108565","07/04/2020","2020","02:40","Saturday","632 Beat","1XXXX North 40th Place","Phoenix","AZ","85032","Desert Horizon Precinct","32942","Male","19","<20","Black","Non-Hispanic","Black or African American","Criminal Felony","1"
"202000001110061","07/04/2020","2020","09:43","Saturday","621 Beat","2XXX West Peoria Avenue","Phoenix","AZ","85021","Desert Horizon Precinct","23084","Male","37","30s","White","Non-Hispanic","White","None","1"
"202000001114881","07/04/2020","2020","22:34","Saturday","734 Beat","1XXX lewis Avenue W","phoenix","AZ","85034","Mountain View Precinct","22054","Male","31","30s","Black","Non-Hispanic","Black or African American","None","1"
"202000001113858","07/04/2020","2020","20:54","Saturday","731 Beat","2XXX West Indian School Road","Phoenix","AZ","85015","Mountain View Precinct","32950","Male","41","40s","White","Non-Hispanic","White","Criminal Felony","1"
"202000001119111","07/05/2020","2020","16:50","Sunday","614 Beat","1XXX Missouri Avenue W","Phoenix","AZ","85013","Desert Horizon Precinct","21790","Male","40","40s","White","Hispanic","Hispanic","None","1"
"202000001115962","07/05/2020","2020","00:52","Sunday","732 Beat","4XXX North 9th Avenue","Phoenix","AZ","85013","Mountain View Precinct","13973","Male","41","40s","Black","Non-Hispanic","Black or African American","Criminal Felony","1"
"202000001123774","07/06/2020","2020","13:18","Monday","Maricopa","2XXX Grand Avenue N","Phoenix","AZ","85009","Mountain View Precinct","21792","Male","21","20s","White","Non-Hispanic","White","None","1"
"202000001125764","07/06/2020","2020","19:48","Monday","815 Beat","7XXX Thomas Road W","Phoenix","AZ","85395","Maryvale/Estrella Precinct","21968","Male","47","40s","American Indian / Alaskan Native","Non-Hispanic","Other","None","1"
"202000001124696","07/06/2020","2020","16:15","Monday","822 Beat","6XXX Thomas Road W","Phoenix","AZ","85033","Maryvale/Estrella Precinct","21967","Female","74","70s","White","Hispanic","Hispanic","None","1"
"202000001124696","07/06/2020","2020","16:15","Monday","822 Beat","6XXX Thomas Road W","Phoenix","AZ","85033","Maryvale/Estrella Precinct","21966","Male","48","40s","White","Hispanic","Hispanic","None","1"
"202000001121427","07/06/2020","2020","02:11","Monday","231 Beat","2XXX East Eugie Terrace","Phoenix","AZ","85022","Black Mountain Precinct","31137","Female","47","40s","White","Non-Hispanic","White","None","1"
"202000001123774","07/06/2020","2020","13:18","Monday","Maricopa","2XXX Grand Avenue N","Phoenix","AZ","85009","Mountain View Precinct","21791","Male","22","20s","Black","Non-Hispanic","Black or African American","None","1"
"202000001121489","07/06/2020","2020","02:42","Monday","223 Beat","1XXXX North Central Avenue","Phoenix","AZ","85024","Black Mountain Precinct","29718","Male","32","30s","White","Non-Hispanic","White","Criminal Felony","1"
"202000001121427","07/06/2020","2020","02:11","Monday","231 Beat","2XXX East Eugie Terrace","Phoenix","AZ","85022","Black Mountain Precinct","33181","Male","28","20s","White","Non-Hispanic","White","None","1"
"202000001123492","07/06/2020","2020","12:24","Monday","413 Beat","2XXX Spencer Run W","Phoenix","AZ","85041","South Mountain Precinct","","Not Available","Not Available","Not Available","Not Available","Not Available","Other","None","1"
"202000001124696","07/06/2020","2020","16:15","Monday","822 Beat","6XXX Thomas Road W","Phoenix","AZ","85033","Maryvale/Estrella Precinct","21965","Male","20","20s","White","Hispanic","Hispanic","None","1"
"202000001124065","07/06/2020","2020","15:34","Monday","822 Beat","2XXX 52nd Drive N","Phoenix","AZ","85031","Maryvale/Estrella Precinct","21803","Male","18","<20","White","Hispanic","Hispanic","None","1"
"202000001121427","07/06/2020","2020","02:11","Monday","231 Beat","2XXX East Eugie Terrace","Phoenix","AZ","85022","Black Mountain Precinct","33182","Male","33","30s","White","Non-Hispanic","White","None","1"
"202000001124554","07/06/2020","2020","15:49","Monday","224 Beat","1XXXX 19th Avenue N","Phoenix","AZ","85023","Black Mountain Precinct","21925","Male","27","20s","White","Non-Hispanic","White","None","1"
"202000001121427","07/06/2020","2020","02:11","Monday","231 Beat","2XXX East Eugie Terrace","Phoenix","AZ","85022","Black Mountain Precinct","33180","Male","65","60s","White","Non-Hispanic","White","None","1"
"202000001126343","07/06/2020","2020","22:00","Monday","713 Beat","3XXX Indian School Road E","Phoenix","AZ","85016","Mountain View Precinct","21902","Male","21","20s","American Indian / Alaskan Native","Non-Hispanic","Other","None","1"
"202000001128942","07/07/2020","2020","13:40","Tuesday","211 Beat","3XXX priest Drive S","tempe","AZ","85282","Black Mountain Precinct","21829","Male","39","30s","White","Hispanic","Hispanic","None","1"
"202000001131573","07/07/2020","2020","20:36","Tuesday","831 Beat","2XXX 89th Drive S","Phoenix","AZ","85353","Maryvale/Estrella Precinct","21817","Male","19","<20","Black","Non-Hispanic","Black or African American","None","1"
"202000001130172","07/07/2020","2020","16:02","Tuesday","734 Beat","3XX Indian School Road W","Phoenix","AZ","85013","Mountain View Precinct","21807","Male","50","50s","White","Hispanic","Hispanic","None","1"
"202000001131875","07/07/2020","2020","22:41","Tuesday","625 Beat","1XXX Hayward Avenue E","Phoenix","AZ","85020","Desert Horizon Precinct","21877","Female","48","40s","White","Non-Hispanic","White","None","1"
"202000001131573","07/07/2020","2020","20:36","Tuesday","831 Beat","2XXX 89th Drive S","Phoenix","AZ","85353","Maryvale/Estrella Precinct","21818","Male","20","20s","Black","Non-Hispanic","Black or African American","None","1"
"202000001131875","07/07/2020","2020","22:41","Tuesday","625 Beat","1XXX Hayward Avenue E","Phoenix","AZ","85020","Desert Horizon Precinct","21873","Female","24","20s","White","Hispanic","Hispanic","None","1"
"202000001130542","07/07/2020","2020","17:15","Tuesday","412 Beat","3XXX Buckeye Road W","Phoenix","AZ","85009","South Mountain Precinct","21821","Female","49","40s","White","Hispanic","Hispanic","None","1"
"202000011131370","07/07/2020","2020","19:52","Tuesday","421 Beat","1XXX St.Catherine Avenue E","phoenix","AZ","Not Available","South Mountain Precinct","21866","Female","21","20s","Black","Non-Hispanic","Black or African American","None","1"
"202000001130874","07/07/2020","2020","18:18","Tuesday","512 Beat","3XX Central Avenue N","Phoenix","AZ","85009","Central City Precinct","21811","Male","39","30s","White","Hispanic","Hispanic","None","1"
"202000001130100","07/07/2020","2020","15:50","Tuesday","825 Beat","3XXX Roanoke Avenue W","Phoenix","AZ","85009","Maryvale/Estrella Precinct","22062","Male","25","20s","White","Hispanic","Hispanic","None","1"
"202000001131875","07/07/2020","2020","22:41","Tuesday","625 Beat","1XXX Hayward Avenue E","Phoenix","AZ","85020","Desert Horizon Precinct","21876","Female","22","20s","Black","Non-Hispanic","Black or African American","None","1"
"202000001109874","07/07/2020","2020","13:55","Tuesday","232 Beat","1XXXX Cave Creek Road N","Phoenix","AZ","85032","Black Mountain Precinct","22512","Female","26","20s","White","Non-Hispanic","White","None","1"
"202000001132050","07/07/2020","2020","22:30","Tuesday","726 Beat","4XXX Van Buren Street E","Phoenix","AZ","85009","Mountain View Precinct","14733","Female","38","30s","American Indian / Alaskan Native","Non-Hispanic","Other","None","1"
